,Title,Abstract,DOI,Link,Source,Valido,Comentario,métrica,algoritmos,deporte,liga,sexo,balanceo,preprocesado,volumen DS,features,disponibilidad de datos,link a datos,objetivo,atributo a predecir,Resultado,origen datos,año datos,autores,mejoras en comparación,críticas
Ivan,Those who counter match-fixing fraudsters: voices from a multistakeholder ecosystem,"This study sheds light on the match-fixing ecosystem, with particular focus on those entities engaged in protecting the integrity of competitions. It analyzes the characteristics of match-fixers, as perceived by some anti-match-fixing stakeholders; the known processes of match-fixing and their evolution; and the interactions among stakeholders in the match-fixing ecosystem. Results show that while anti-match-fixing actors seem to have only a fuzzy idea of match-fixers' characteristics, they appear to know quite well how fraudsters manipulate games. Meanwhile, fixers seem to have adapted their processes across time in response to harsher countermeasures according to two main strategies: layering, in which mules are used to place bets on multiple operators to conceal suspicious betting pattern algorithms, and diversification/displacement, in which fixers decide to pursue new betting options or to target minor leagues or other, less monitored sports. Some fixers did not have to adapt since in many countries police investigations remain rare and criminal sanction mild. Further research should encourage comparative perspectives beyond the European dimension, develop a more systematic effort to establish a sport fraudsters typology, and focus on non-betting-related sports manipulations.",10.1007/s10611-020-09889-z,http://dx.doi.org/10.1007/s10611-020-09889-z,WOS,No,"Tiene que ver más con el sistema de apuestas y como estafan, no con lo nuestro",,,,,,,,,,,,,,,,,,,
Ivan,Do not bet on your favourite football team: the influence of fan identity-based biases and sport context knowledge on game prediction accuracy,"Research question: While the influence of sport context knowledge, such as home advantage and team ranking, on prediction accuracy has been discussed in the previous literature, the role of identity-based biases, such as fans’ level of team involvement and the selection of their favourite team, in betting behaviour remain unclear. The main purpose of this study is to develop an understanding of how sport fans’ biases and sport context knowledge influence the accuracy of sport game predictions. Research methods: A smartphone application enabled us to collect real soccer game predictions and results. A total of 529 football fans participated in 53,943 predictions of 2353 professional football games within a mobile smartphone application. Chi-square tests and logistic regressions were used to analyse the data. Results and findings: Chi-square test results indicate that individuals overestimate their favourite team to win, as well as they split their predictions into dichotomous outcomes by overestimating wins and losses and underestimating draws. Logistic regression analyses indicate that identity-based biases negatively influence prediction accuracy, whereas individuals’ sport context knowledge positively contributes to prediction accuracy. Implications: The study contributes to our understanding of the Psychological Continuum Model, individual biases, social identity theory and the psychological concept of splitting. Findings have implications for organizations who need to understand fans’ sport gambling behaviour and sport fans who seek to optimize their game prediction accuracy to improve their bets and fantasy team selections. © 2018, © 2018 European Association for Sport Management.",10.1080/16184742.2018.1530689,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055744103&doi=10.1080%2f16184742.2018.1530689&partnerID=40&md5=9dedaf1c9b12f4df7d251035d533f5d8,SCOPUS,No,"Es sobre que los fans apuestan a su propio equipo y eso no es lo correcto, hasta ahí llego yo también",,,,,,,,,,,,,,,,,,,
Ivan,FRAMEWORK BASED ON CONFORMAL PREDICTORS AND POWER MARTINGALES FOR DETECTION OF FIXED FOOTBALL MATCHES,"One of the difficult problems that arises during football competitions is match-fixing. In terms of negative effect, such shameful phenomena are commensurate with the problem of doping. This paper has analyzed known methods for the possible detection of match-fixing, including sociological analysis of participants in match-fixing, methods for predicting the outcome of the match, analysis of bets and performance of the player or team during the match. It is noted that the assessment of match-fixed results in the considered methods is carried out based on the analysis of a large amount of data. But such information is not always available. Given the insufficient formalization of the problem area, it is relevant to conduct research that does not require a large amount of non-publicly available data but, at the same time, makes it possible to effectively identify potentially suspicious matches regarding a fixed result. The description of the input data is formalized in the form of a data structure containing a chronological history of the results of football seasons, the ranking of teams and matches of the season depending on the overall result of the teams in the season. A method for detecting suspicious football matches with a fixed result has been built using conformal predictors and power martingales within which a new measure of non-conformity has been introduced to determine atypical football matches. To obtain a generalization of the statistics of atypical matches, a power submartingale was used. Evaluation of the effectiveness of the developed method for detecting suspicious football matches was carried out based on precision and recall of the classification metrics using data on the 2013–2014 season of the French II League. The quality of work of the developed method reaches 85 % in terms of precision metric, 96 % in terms of recall metric, and 0.853 in terms of metric F1 © 2023, Authors. This is an open access article under the Creative Commons CC BY license",10.15587/1729-4061.2023.276977,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159004481&doi=10.15587%2f1729-4061.2023.276977&partnerID=40&md5=cd38c5ba4c37d61d3a948d5b11fd1129,SCOPUS,No,Es sobre detectar partidos amañados,,,,,,,,,,,,,,,,,,,
Ivan,The wisdom of amateur crowds: Evidence from an online community of sports tipsters,"We analyse the accuracy of crowd forecasts produced on Oddsportal, an online community of amateur sports tipsters. Tipsters in this community are ranked according to the betting return on their tips, but there are no prizes for accuracy. Nevertheless, we find that aggregated tips in this community contain information not in betting prices. A strategy of betting when a majority predict an outcome produces average returns of 1.317% for 68,339 events. The accuracy of these forecasts stems from the wisdom of the whole crowd, as selecting sections of the crowd based on experience or past forecast accuracy does not improve betting returns. (C) 2018 Elsevier B.V. All rights reserved.",10.1016/j.ejor.2018.07.015,http://dx.doi.org/10.1016/j.ejor.2018.07.015,WOS,No,"Tiene que ver con como seguir lo que hace la mayoría de los tipster es beneficioso, pero no con predicción en si",Average betting return,,,,,,,,,,,,,,,,,,
Ivan,Home advantage and away goals rule: An analysis from Brazil Cup,"In football, many people argue that in knock-out competitions the team that plays the second game in its stadium would have an advantage, a greater probability of victory in the final outcome of a two leg knock-out match. The purpose of this study is to verify the veracity of this statement using data from the Brazil Cup. We find evidence that the ability spread between the teams participating in a match is the main factor that explains the qualification of one of the teams for the next round. Until 2018, there were three criteria for break the tie in the Brazil Cup, they were used in the respectively order: goal difference, away goals rule, penalty shootout (there is no extra-time in any play-off of the championship). It is estimated that 36% of the matches end tied and need a criterion to determine the winner. Of these, 51% use the goal difference decision, 29% use the away goals rule and 20% penalty shoot-out. When considering the championship in general there is evidence that the home team wins the match in approximately 63% of the matches, a significant advantage. However, in the confrontations that were decided by the away goals rule or the penalty shoot-out, the home team wins percentage is 20% lower, indicating that these criteria level the odds of both teams.",10.3233/JSA-200370,http://dx.doi.org/10.3233/JSA-200370,WOS,No,"Infuencia de jugar en casa y eso, pero no hace ninguna predicción ni nada relacionado",,,,,,,,,,,,,,,,,,,
Ivan,"RoboCup 2019 AdultSize Winner NimbRo: Deep Learning Perception, In-Walk Kick, Push Recovery, and Team Play Capabilities","Individual and team capabilities are challenged every year by rule changes and the increasing performance of the soccer teams at RoboCup Humanoid League. For RoboCup 2019 in the AdultSize class, the number of players (2 vs. 2 games) and the field dimensions were increased, which demanded for team coordination and robust visual perception and localization modules. In this paper, we present the latest developments that lead team NimbRo to win the soccer tournament, drop-in games, technical challenges and the Best Humanoid Award of the RoboCup Humanoid League 2019 in Sydney. These developments include a deep learning vision system, in-walk kicks, step-based push-recovery, and team play strategies. © 2019, Springer Nature Switzerland AG.",10.1007/978-3-030-35699-6_51,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076905777&doi=10.1007%2f978-3-030-35699-6_51&partnerID=40&md5=e445dcb4abb277c9467c3efb81524538,SCOPUS,No,No entiendo que es esto de una liga de humanoides,,,,,,,,,,,,,,,,,,,
,Re-examining the bias and market inefficiency in eSports betting markets: On the application of multivariate regression model,"Favorite-longshot and reverse favorite-longshot biases have become widespread in various traditional sports betting markets in recent years. However, there is a limited number of investigations that have been conducted on the eSports betting market or the bettors that operate within it. In the present research, we have made efforts to re-examine the bias and market inefficiency in four typical eSport games: League of Legends, Counter-Strike: Global Offensive, Dota 2, and King of Glory. Due to the natural characteristics of e-sports, we analyze the reasons for the market biases from 4 aspects: commission, region, match format, and tournaments. We find that both the favorite-longshot and reverse favorite-longshot bias occur in eSports. Moreover, the distribution of these betting biases is completely different among different eSports game titles and tournaments. The results of the weighted linear regression model reveal that long match format is the important factor of long-short bias, while regional tournaments are the important factor of reverse long-short bias in League of Legends.",10.3233/JIFS-232932,http://dx.doi.org/10.3233/JIFS-232932,WOS,Si,"Es interesante, en vez de deportes clásicos, de esports",,,,,,,,,,,,,,,,,,,No tengo acceso al paper ni con la VPN ni nada
Ivan,Intelligent and dynamic method to specify chronological order of the games to improve the excitement and fairness of the champions in simulation league,"RoboCup champions aimed at improving artificial intelligence methods. Competition formats include elimination, double elimination and round-robin. In soccer simulation league an agents' energy and knowledge in each game is independent of previous or simultaneous games. So when the format is round-robin the result is fair and the chronological order of holding games doesn't affect the result. In this paper, by using three heuristic functions, a new intelligent method for providing a dynamic table for specifying chronological order of holding games is presented. By using this method the important and determinative games were held at the end of the competitions. It can make championships more exciting and avoid extra games after round-robin; Therefore total evaluation specify the winner, the ranks are fairer and the RoboCup champions get closer to its' scientific goals. The evaluation showed that this dynamic method improved excitement in comparison to static methods and was 66% closer to the most exciting state evaluation.",10.1109/RIOS.2016.7529510,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7529510,IEEE,No,"Esto es sobre decidir el orden de los partidos, no nos interesa",,,,,,,,,,,,,,,,,,,
Ivan,Do uncertain outcomes matter for ticket prices? Examination of the National Football League's secondary ticket market,"PurposeThis study examines the impact of outcome uncertainty on the National Football League (NFL) secondary ticket market prices. As a demand-driven market, it is essential to comprehend how resellers respond to outcome uncertainty, one of the consumer demand factors in sports.Design/methodology/approachUsing real-time ticket prices and money lines as a proxy of the probabilities of winning, this study employs a regression analysis and examines 33,554 price observations from the NFL's secondary ticket market partner, StubHub.FindingsThe result shows a positive relationship between outcome uncertainty and secondary market ticket prices, indicating that resellers adjust the prices in response to the level of outcome uncertainty and put more value on games with greater uncertainty. This finding confirms the demand-driven nature of the secondary ticket market, as outcome uncertainty is one of the demand factors in sports.Originality/valueThis study links the uncertainty of outcome hypothesis with secondary ticket market pricing and fills a gap in the literature by providing an important perspective on games with uncertainty in the secondary ticket market. Outcome uncertainty has limited understanding in relation to secondary ticket market pricing despite its relationship with consumer demand. The positive relationship between outcome uncertainty and the ticket prices, grounded in real-time price data and win probability from sport betting markets, enhances our understanding of price determinations in the secondary ticket market.",10.1108/SBM-03-2024-0026,http://dx.doi.org/10.1108/SBM-03-2024-0026,WOS,No,Es sobre predecir el precio de los ticckets,,,,,,,,,,,,,,,,,,,
,Bounded Rationality for Data Reasoning Based on Formal Concept Analysis,"Formal Concept Analysis (FCA) is a theory whose goal is to discover and extract Knowledge from qualitative data. It also provides tools for sound reasoning (implication basis and association rules). The aim of this paper is to apply FCA to a new model for bounded rationality based on the implicational reasoning over contextual knowledge bases which are obtained from contextual selections. A contextual selection is a selection of events and attributes about them which induces partial contexts from a global formal context. In order to avoid inconsistencies, association rules are selected as reasoning engine. The model is applied to forecast sport results.",10.1109/DEXA.2011.18,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6059842,IEEE,Si,"Forecast sport results, eso queremos",Accuracy,Formal Concept Analysis,Fútbol,liga española,masculino,No,No especifica,10 años liga española ~380 partidos,"Diferencia de ranking, rendimiento en partidos previos, estadísticas de equipos",público,https://www.rsssf.org/,Predecir resultado,Victoria Empate Derrota,"58.16% de aciertos en la temporada 2009-10, con mejora del 7% en la segunda mitad de la temporad",Archivo RSSSF,"2000/01, 2001/02, 2002/03, 2003/04, 2004/05, 2005/06, 2006/07, 2007/08, 2008/09, 2009/10, 2010/11","Gonzalo A. Aranda-Corral, Joaquín Borrego-Díaz, Juan Galán-Páez","- probar en distintas ligas
- considerar otros aspectos como lesiones, clima, etc.","- depende de la selección de atributos de expertos por lo que puede estar sesgado
- no se compara con otros modelos, solo se da el resultado de este"
,A gamma process based in-play prediction model for National Basketball Association games,"This paper presents an in-play prediction model based on the gamma process for the scoring processes of the National Basketball Association matches. The model is team-specific, i.e., it takes account of the relative strengths of the two teams playing in a match. The dependence between the home and away scoring processes is characterized by a common latent variable. A Bayesian dynamic forecasting procedure for future games is developed, which utilizes the in-match information to update the scale parameter of the model as the match progresses. An evaluation against baseline models is provided in an empirical study. Our proposed model can predict the final score and total points, while the baseline models are unable to make such predictions. Furthermore, our model can produce positive returns on the point spread betting market and the over-under betting market. (C) 2019 Elsevier B.V. All rights reserved.",10.1016/j.ejor.2019.11.012,http://dx.doi.org/10.1016/j.ejor.2019.11.012,WOS,Si,,"RMSE, Accuracy","Gamma Process, Montecarlo simulation",Baloncesto,NBA,masculino,No,Extracción de datos de puntuaciones minuto a minuto,3 Temporadas,Evolución de la puntuación por minuto,público,https://www.nowgoal.com/nba,Predecir el marcador final y total de puntos de partidos en tiempo real,"Score, Total de puntos","- Mejora el modelo browniano
- No mejora el modelo de Elo de Ryall
- Genera ingresos",Nowgoal NBA y odds de Bet365,"2015/16, 2016/17, 2017/18","Kai Song, Jian Shi","- Integrar otras estadísticas en tiempo real (posesión, faltas, eficiencia de tiro) para mejorar la precisión de predicciones.
- Combinar con modelos más avanzados como redes neuronales o enfoques híbridos con Elo Ratings.
- Proabar otras ligas","-No se prueba en ligas fuera de la NBA
"
